date,method,site,position,moisture (%),test weight (lb/bu),weight (lbs),harvest area (ft2),yield (lb acre),yield (bu acre)
2025-10-31,by hand,r22,north,23.2,50.9,,,,
2025-10-31,by hand,r22,middle,22.8,52.5,,,,
2025-10-31,by hand,r22,south,23.3,50.2,,,,
2025-10-31,by hand,r34,west,19.6,55.2,,,,
2025-10-31,by hand,r34,middle,19.9,52.6,,,,
2025-10-31,by hand,r34,east,20.3,52.5,,,,
2025-10-31,combine,r34,east,18.3,51.6,49.64,215,10057.29488,194.9088156
2025-10-31,combine,r34,middle,18.6,53.7,48.22,215,9769.596279,181.9291672
2025-10-31,combine,r34,west,18.1,52.7,47.73,215,9670.32,183.4975332
2025-10-31,combine,r22,north,20.6,50.1,66.06,215,13384.06326,267.1469712
2025-10-31,combine,r22,middle,21.1,52,66.78,215,13529.9386,260.191127
2025-10-31,combine,r22,south,21.2,49.6,61.75,215,12510.83721,252.2346212
2025-11-3,by hand,307,,17.8,58.3,,,,
2025-11-3,by hand,306,,17.5,58.3,,,,
2025-11-3,by hand,305,,18.6,56.2,,,,
2025-11-3,by hand,304,,19.4,56.9,,,,
2025-11-3,by hand,303,,20.4,54.3,,,,
2025-11-3,by hand,302,,22,54,,,,
2025-11-3,by hand,301,,20.5,56.4,,,,
2025-11-3,by hand,207,,17.5,58.3,,,,
2025-11-3,by hand,206,,17.3,57.6,,,,
2025-11-3,by hand,205,,19.1,55.5,,,,
2025-11-3,by hand,204,,20.5,57.7,,,,
2025-11-3,by hand,203,,21,54.5,,,,
2025-11-3,by hand,202,,23.3,53.4,,,,
2025-11-3,by hand,201,,21.2,56.4,,,,
2025-11-3,by hand,107,,17.6,58.9,,,,
2025-11-3,by hand,106,,17.1,57.9,,,,
2025-11-3,by hand,105,,18.4,55.1,,,,
2025-11-3,by hand,104,,19.2,59.3,,,,
2025-11-3,by hand,103,,20.1,55.5,,,,
2025-11-3,by hand,102,,22,54.1,,,,
2025-11-3,by hand,101,,20.8,56.1,,,,
2025-11-3,combine,307,,17,60,95.82,375,11130,186
2025-11-3,combine,306,,16.6,60.2,114.1,375,13254,220
2025-11-3,combine,305,,18.3,59.3,116.2,375,13498,228
2025-11-3,combine,304,,20,58.8,123.1,375,14299,243
2025-11-3,combine,303,,20.1,58.5,112.6,375,13080,224
2025-11-3,combine,302,,21.5,58,122.1,375,14183,245
2025-11-3,combine,301,,21.2,58.3,118.2,375,13730,236
2025-11-3,combine,207,,17.2,59.9,106.7,375,12394,207
2025-11-3,combine,206,,16.6,60.1,120,375,13939,232
2025-11-3,combine,205,,18.5,59.1,108,375,12545,212
2025-11-3,combine,204,,20.4,58.5,116.8,375,13567,232
2025-11-3,combine,203,,20.1,58.5,112.8,375,13103,224
2025-11-3,combine,202,,21.4,58.1,118.8,375,13800,238
2025-11-3,combine,201,,21.7,58,118,375,13707,236
2025-11-3,combine,107,,17.1,60,108.2,375,12569,209
2025-11-3,combine,106,,16.2,60.4,113.8,375,13219,219
2025-11-3,combine,105,,18,59.3,106.2,375,12336,208
2025-11-3,combine,104,,19.4,59,116.1,375,13486,229
2025-11-3,combine,103,,19.5,58.7,111.8,375,12987,221
2025-11-3,combine,102,,21.2,58.1,124.1,375,14415,248
2025-11-3,combine,101,,20.7,58.3,116.6,375,13544,232
