date,method,site,position,moisture (%),test weight (lb/bu),weight (lbs),harvest area (ft2),yield (lb acre),yield (bu acre)
2025-10-31,by hand,r22,north,23.2,50.9,,,,
2025-10-31,by hand,r22,middle,22.8,52.5,,,,
2025-10-31,by hand,r22,south,23.3,50.2,,,,
2025-10-31,by hand,r34,west,19.6,55.2,,,,
2025-10-31,by hand,r34,middle,19.9,52.6,,,,
2025-10-31,by hand,r34,east,20.3,52.5,,,,
2025-10-31,combine,r34,east,18.3,51.6,49.64,215,10057.29488,194.9088156
2025-10-31,combine,r34,middle,18.6,53.7,48.22,215,9769.596279,181.9291672
2025-10-31,combine,r34,west,18.1,52.7,47.73,215,9670.32,183.4975332
2025-10-31,combine,r22,north,20.6,50.1,66.06,215,13384.06326,267.1469712
2025-10-31,combine,r22,middle,21.1,52,66.78,215,13529.9386,260.191127
2025-10-31,combine,r22,south,21.2,49.6,61.75,215,12510.83721,252.2346212
