plot,date,year,co2.e.gmd,co2.e.gmhr,n2o.e.gmhr,ch4.e.gmhr,experiment,site
2101,2022-05-18,2022,1.23161653,0.051317355,-6.55e-5,0,ncas,x
2101,2022-06-07,2022,1.232354981,0.051348124,1.43316e-4,0,ncas,x
2101,2022-07-01,2022,0,0,0,0,ncas,x
2101,2022-08-09,2022,4.669143857,0.194547661,0,0,ncas,x
2101,2022-08-24,2022,2.113482993,0.088061791,1.09987e-4,0,ncas,x
2101,2022-09-07,2022,1.57842096,0.06576754,0,0,ncas,x
2101,2022-09-22,2022,0.170605135,0.007108547,5.92e-5,0,ncas,x
2101,2022-10-06,2022,0.158139532,0.006589147,7.08e-5,-6.26e-5,ncas,x
2101,2022-10-19,2022,0,0,0,0,ncas,x
2101,2023-04-14,2023,1.150093745,0.047920573,-3.35925e-4,0,ncas,x
2101,2023-04-26,2023,0.6374922,0.026562175,-7.75e-5,0,ncas,x
2101,2023-05-09,2023,0.263796353,0.010991515,1.1471e-4,0,ncas,x
2101,2023-05-22,2023,1.183410896,0.049308787,0,7.18e-5,ncas,x
2101,2023-06-05,2023,0.601186035,0.025049418,-1.00697e-4,0,ncas,x
2101,2023-07-05,2023,2.647440763,0.110310032,0,0,ncas,x
2101,2023-07-20,2023,1.948378239,0.081182427,0,0,ncas,x
2101,2023-08-02,2023,1.70127911,0.07088663,0,0,ncas,x
2101,2023-08-17,2023,1.01492461,0.042288525,7.42e-5,0,ncas,x
2101,2023-09-27,2023,1.828379282,0.07618247,0,0,ncas,x
2102,2022-05-18,2022,-0.437521569,-0.018230065,-3.23794e-4,0,ncas,x
2102,2022-06-07,2022,-0.452132656,-0.018838861,1.04809e-4,7.89e-5,ncas,x
2102,2022-07-01,2022,0.537835955,0.022409831,0,0,ncas,x
2102,2022-07-25,2022,0.638606811,0.026608617,0,0,ncas,x
2102,2022-08-09,2022,2.963326956,0.123471957,0,0,ncas,x
2102,2022-08-24,2022,1.574800004,0.065616667,0,0,ncas,x
2102,2022-09-07,2022,0,0,0,0,ncas,x
2102,2022-09-22,2022,0.4948649,0.020619371,0,5.59e-5,ncas,x
2102,2022-10-06,2022,0.671349117,0.02797288,0,8.65e-5,ncas,x
2102,2022-10-19,2022,0.327353292,0.013639721,0,0,ncas,x
2102,2023-04-14,2023,0.308173509,0.012840563,-6.32e-5,0,ncas,x
2102,2023-04-26,2023,0,0,8e-5,0,ncas,x
2102,2023-05-09,2023,-0.097068886,-0.004044537,-1.72451e-4,0,ncas,x
2102,2023-05-22,2023,0.628312978,0.026179707,0,0,ncas,x
2102,2023-06-05,2023,1.412184607,0.058841025,1.09393e-4,0,ncas,x
2102,2023-07-05,2023,1.719111803,0.071629658,0,0,ncas,x
2102,2023-07-20,2023,1.823136874,0.075964036,9.6e-5,0,ncas,x
2102,2023-08-02,2023,1.95929611,0.081637338,1.26166e-4,0,ncas,x
2102,2023-08-17,2023,1.578390288,0.065766262,0,0,ncas,x
2102,2023-09-27,2023,3.003302668,0.125137611,0,0,ncas,x
2103,2022-05-18,2022,0.993212863,0.041383869,1.17293e-4,0,ncas,x
2103,2022-06-07,2022,1.235429762,0.05147624,8.97e-5,0,ncas,x
