site,plot,date,slope_CO2_ugcm3,slope_N2O_ugcm3,slope_CH4_ugcm3,co2.e,co2.e.area,co2.e.gmd,co2.e.gmhr,n2o.e,n2o.e.area,n2o.e.gmhr,ch4.e,ch4.e.area,ch4.e.gmhr
r100,1101,2023-05-16,1.46E-05,0,0,5.35E-05,4.77E-04,0.4118854511,0.0171618938,0,0,0,0,0,0
r100,1101,2023-05-31,1.05E-05,1.78E-07,0,3.84E-05,3.42E-04,0.2958108494,0.01232545206,5.59E-07,4.99E-06,1.79E-04,0,0,0
r100,1101,2023-06-27,3.52E-05,0,0,1.29E-04,0.001150729726,0.9942304833,0.04142627014,0,0,0,0,0,0
r100,1101,2023-07-10,2.15E-05,0,0,7.88E-05,7.03E-04,0.607385087,0.02530771196,0,0,0,0,0,0
r100,1101,2023-07-24,2.33E-05,0,0,8.55E-05,7.62E-04,0.6587458519,0.02744774383,0,0,0,0,0,0
r100,1101,2023-08-07,4.46E-05,0,-1.89E-07,1.63E-04,0.001457825082,1.25956087,0.05248170293,0,0,0,-2.52E-07,-2.25E-06,-8.09E-05
r100,1101,2023-08-21,2.46E-05,0,0,9.02E-05,8.04E-04,0.6947900285,0.02894958452,0,0,0,0,0,0
r100,1102,2023-05-16,3.23E-05,0,0,1.18E-04,0.001056088761,0.9124606895,0.03801919539,0,0,0,0,0,0
r100,1102,2023-05-31,3.00E-05,0,0,1.10E-04,9.82E-04,0.8488071121,0.035366963,0,0,0,0,0,0
r100,1102,2023-06-27,3.71E-05,-4.31E-07,0,1.36E-04,0.001213678843,1.048618521,0.04369243836,-1.36E-06,-1.21E-05,-4.35E-04,0,0,0
r100,1102,2023-07-10,3.27E-05,0,0,1.20E-04,0.001068045818,0.9227915871,0.03844964946,0,0,0,0,0,0
r100,1102,2023-07-24,4.69E-05,0,0,1.72E-04,0.001533339196,1.324805065,0.05520021104,0,0,0,0,0,0
r100,1102,2023-08-07,3.00E-05,0,0,1.10E-04,9.82E-04,0.8481679803,0.03534033251,0,0,0,0,0,0
r100,1102,2023-08-21,3.09E-05,0,0,1.13E-04,0.00100996202,0.8726071851,0.03635863271,0,0,0,0,0,0
r100,1103,2022-09-02,4.47E-04,3.59E-07,0,0.001637476301,0.01460352901,12.61744907,0.5257270444,1.13E-06,1.01E-05,3.62E-04,0,0,0
r100,1103,2022-09-08,6.98E-05,-8.18E-08,0,2.56E-04,0.002282824543,1.972360405,0.08218168355,-2.57E-07,-2.29E-06,-8.25E-05,0,0,0
