site,collection,date,type,name,population,plot,plant height (cm),leaf count,stem circumference (cm),light penetration,node number,distance between node and tassel (cm),stage,height of lowest ear (cm),rowlength,totalplantcount,totalstoverbiomass_wet_g,totalearcount,totalearbiomass_wet_g,subsample_specs,stover_wet_withbag_g,stover_wet_g,stover_bagtare_g,stover_dry_g,stover_Ncontent_percent,grain_wet_g,grain_dry_g,grain_Ncontent_percent,grain_moisturePercent_atharvest,grain_testweight_lbbu_atharvest,grain_moisturePercent_afterdryer,grain_testweight_lbbu_afterdryer,grain_moisturePercent_afterdryerandaspiration,grain_testweight_lbbu_afterdryerandaspiration,notes
st paul,growth monitoring,7/19/2024,conventional,DKC56-65Rib,32000,12,173,8,11.5,,13,55,,,,,,,,,,,,,,,,,,,,,,,
st paul,growth monitoring,7/19/2024,short,PR106-21SSC,39000,11,134,5,11.5,,12,29,,,,,,,,,,,,,,,,,,,,,,,
st paul,growth monitoring,7/19/2024,short,PR106-20SSC,39000,10,126,6,11,,12,30,,,,,,,,,,,,,,,,,,,,,,,
st paul,growth monitoring,7/19/2024,short,PR105-20SSC,39000,9,129,5,10.5,,12,19,,,,,,,,,,,,,,,,,,,,,,,
st paul,growth monitoring,7/19/2024,conventional,DKC56-65Rib,32000,8,157,6,9,,12,59,,,,,,,,,,,,,,,,,,,,,,,
st paul,growth monitoring,7/19/2024,short,PR106-21SSC,39000,7,123,5,10,,11,28,,,,,,,,,,,,,,,,,,,,,,,
st paul,growth monitoring,7/19/2024,short,PR106-20SSC,39000,6,131,6,11,,14,35,,,,,,,,,,,,,,,,,,,,,,,
st paul,growth monitoring,7/19/2024,short,PR105-20SSC,39000,5,123,6,11.5,,12,19,,,,,,,,,,,,,,,,,,,,,,,
st paul,growth monitoring,7/19/2024,conventional,DKC56-65Rib,32000,4,151,7,9.5,,16,62,,,,,,,,,,,,,,,,,,,,,,,
st paul,growth monitoring,7/19/2024,short,PR106-21SSC,39000,3,129,6,10.5,,12,32,,,,,,,,,,,,,,,,,,,,,,,
st paul,growth monitoring,7/19/2024,short,PR106-20SSC,39000,2,126,6,10.5,,12,30,,,,,,,,,,,,,,,,,,,,,,,
st paul,growth monitoring,7/19/2024,short,PR105-20SSC,39000,1,128,6,11,,11,28,,,,,,,,,,,,,,,,,,,,,,,
st paul,growth monitoring,7/25/2024,conventional,DKC56-65Rib,32000,12,216,8,10,15,12,97,,,,,,,,,,,,,,,,,,,,,,,
st paul,growth monitoring,7/25/2024,short,PR106-21SSC,39000,11,149,7,12,8,12,67,,,,,,,,,,,,,,,,,,,,,,,
st paul,growth monitoring,7/25/2024,short,PR106-20SSC,39000,10,154,7,11,8,12,69,,,,,,,,,,,,,,,,,,,,,,,
