year,managementInformation,corn_6,corn_7,corn_8,corn_9,corn_10
2013,Planting date,,,,,
2013,Crop type,,,,,
2013,Seed harvesting date,,,,,
2013,Straw harvesting date,,,,,
2013,Hay harvesting date,,,,,
2013,Root harvesting date,,,,,
2013,Tillage type,,,,,
2013,Tillage date,,,,,
2013,N fertilizer type,,,,,
2013,N fertilizer application date,,,,,
2013,N fertilizer rate,0,80,120,160,200
2013,Stand age,,,,,
2014,Planting date,,,,,
2014,Crop type,,,,,
2014,Seed harvesting date,,,,,
2014,Straw harvesting date,,,,,
2014,Hay harvesting date,,,,,
2014,Root harvesting date,,,,,
2014,Tillage type,,,,,
2014,Tillage date,,,,,
2014,N fertilizer type,,,,,
2014,N fertilizer application date,,,,,
2014,N fertilizer rate,0,80,120,160,200
2014,Stand age,,,,,
2015,Planting date,,,,,
2015,Crop type,,,,,
2015,Seed harvesting date,,,,,
2015,Straw harvesting date,,,,,
2015,Hay harvesting date,,,,,
2015,Root harvesting date,,,,,
2015,Tillage type,,,,,
2015,Tillage date,,,,,
2015,N fertilizer type,,,,,
2015,N fertilizer application date,,,,,
2015,N fertilizer rate,0,80,120,160,200
2015,Stand age,,,,,
