year,managementInformation,eddyflux_i10
2022,Planting date,2022-08-22
2022,Crop type,iwg
2022,Seed harvesting date,
2022,Straw harvesting date,
2022,Hay harvesting date,
2022,Root harvesting date,
2022,Tillage type,
2022,Tillage date,
2022,N fertilizer type,
2022,N fertilizer application date,
2022,N fertilizer rate,
2022,Stand age,0
2023,Planting date,2022-08-22
2023,Crop type,iwg
2023,Seed harvesting date,
2023,Straw harvesting date,
2023,Hay harvesting date,
2023,Root harvesting date,
2023,Tillage type,
2023,Tillage date,
2023,N fertilizer type,
2023,N fertilizer application date,
2023,N fertilizer rate,
2023,Stand age,1
2024,Planting date,2022-08-22
2024,Crop type,iwg
2024,Seed harvesting date,2024-08-07
2024,Straw harvesting date,
2024,Hay harvesting date,
2024,Root harvesting date,
2024,Tillage type,
2024,Tillage date,
2024,N fertilizer type,
2024,N fertilizer application date,
2024,N fertilizer rate,
2024,Stand age,2
