year,managementInformation,2022_000,2022_080,2022_160,2023_000,2023_080,2023_160,2024_000,2024_080,2024_160
2022,Planting date,2022-08-25,2022-08-25,2022-08-25,2022-05-10,2022-05-10,2022-05-10,2022-05-23,2022-05-23,2022-05-23
2022,Crop type,iwg,iwg,iwg,corn,corn,corn,soy,soy,soy
2022,Seed harvesting date,,,,2022-10-20,2022-10-20,2022-10-20,2022-10-10,2022-10-10,2022-10-10
2022,Straw harvesting date,,,,,,,,,
2022,Hay harvesting date,,,,,,,,,
2022,Root harvesting date,,,,,,,,,
2022,Tillage type,,,,,,,,,
2022,Tillage date,,,,,,,,,
2022,N fertilizer type,,,,urea,urea,urea,,,
2022,N fertilizer application date,,,,2022-06-24,2022-06-24,2022-06-24,,,
2022,N fertilizer rate,,,,180,180,180,,,
2022,Stand age,,,,,,,,,
2023,Planting date,2022-08-25,2022-08-25,2022-08-25,2023-09-12,2023-09-12,2023-09-12,,,
2023,Crop type,iwg,iwg,iwg,iwg,iwg,iwg,corn,corn,corn
2023,Seed harvesting date,2023-07-28,2023-07-28,2023-07-28,,,,,,
2023,Straw harvesting date,,,,,,,,,
2023,Hay harvesting date,,,,,,,,,
2023,Root harvesting date,,,,,,,,,
2023,Tillage type,,,,,,,,,
2023,Tillage date,,,,,,,,,
2023,N fertilizer type,urea,urea,urea,,,,urea,urea,urea
2023,N fertilizer application date,2023-04-18,2023-04-18,2023-04-18,,,,2023-06-23,2023-06-23,2023-06-23
2023,N fertilizer rate,0,80,160,,,,180,180,180
2023,Stand age,1,1,1,,,,,,
2024,Planting date,2022-08-25,2022-08-25,2022-08-25,,,,2024-09-04,2024-09-04,2024-09-04
2024,Crop type,iwg,iwg,iwg,iwg,iwg,iwg,iwg,iwg,iwg
2024,Seed harvesting date,2024-08-02,2024-08-02,2024-08-02,2024-08-02,2024-08-02,2024-08-02,,,
2024,Straw harvesting date,,,,,,,,,
2024,Hay harvesting date,,,,,,,,,
2024,Root harvesting date,,,,,,,,,
2024,Tillage type,,,,,,,,,
2024,Tillage date,,,,,,,,,
2024,N fertilizer type,urea,urea,urea,urea,urea,urea,,,
2024,N fertilizer application date,2024-04-24,2024-04-24,2024-04-24,2024-04-24,2024-04-24,2024-04-24,,,
2024,N fertilizer rate,0,80,160,0,80,160,,,
2024,Stand age,2,2,2,1,1,1,,,
