year,managementInformation,iwg,cornSoy_timing1,cornSoy_timing2
2018,Planting date,2017-fall,2018-05-31,
2018,Crop type,iwg,soy,
2018,Seed harvesting date,?,2018-10-17,
2018,Straw harvesting date,?,,
2018,Hay harvesting date,,,
2018,Root harvesting date,,,
2018,Tillage type,?,,
2018,Tillage date,?,,
2018,N fertilizer type,urea,,
2018,N fertilizer application date,2018-05-13,,
2018,N fertilizer rate,100,,
2018,Stand age,1,,
2019,Planting date,2017-fall,2019-05-23,
2019,Crop type,iwg,corn,
2019,Seed harvesting date,2019-08-21,2019-10-31,
2019,Straw harvesting date,2019-08-21,,
2019,Hay harvesting date,,,
2019,Root harvesting date,,,
2019,Tillage type,,no till,
2019,Tillage date,,,
2019,N fertilizer type,urea,urea,urea
2019,N fertilizer application date,2019-05-23,2019-05-23,2019-06-17
2019,N fertilizer rate,100,140,90
2019,Stand age,2,,
2020,Planting date,2017-fall,2020-06-11,
2020,Crop type,iwg,soybean,
2020,Seed harvesting date,2020-08-05,2020-09-25,
2020,Straw harvesting date,2020-08-05,,
2020,Hay harvesting date,,,
2020,Root harvesting date,,,
2020,Tillage type,,rototill,
2020,Tillage date,,2020-06-10,
2020,N fertilizer type,urea,,
2020,N fertilizer application date,2020-05-12,,
2020,N fertilizer rate,100,,
2020,Stand age,3,,
2021,Planting date,2017-fall,2021-05-05,
2021,Crop type,iwg,corn,
2021,Seed harvesting date,?,,
2021,Straw harvesting date,?,,
2021,Hay harvesting date,,,
2021,Root harvesting date,,,
2021,Tillage type,,rototill,
2021,Tillage date,,2021-05-05,
2021,N fertilizer type,urea,urea,80-10-45-3
2021,N fertilizer application date,2021-05-05,2021-05-05,2021-06-18
2021,N fertilizer rate,100,140,90
2021,Stand age,4,,
