experiment,site,year,treatment,treatment name,information,value
orei_manure,rosemount,2020,1,fertCommercial_cutFall,Planting date,2019-fall
orei_manure,rosemount,2020,1,fertCommercial_cutFall,Crop type,iwg
orei_manure,rosemount,2020,1,fertCommercial_cutFall,Seed harvesting date,8/3/2020
orei_manure,rosemount,2020,1,fertCommercial_cutFall,Straw harvesting date,8/3/2020
orei_manure,rosemount,2020,1,fertCommercial_cutFall,Hay harvesting date,10/19/2020
orei_manure,rosemount,2020,1,fertCommercial_cutFall,Root harvesting date,
orei_manure,rosemount,2020,1,fertCommercial_cutFall,Tillage type,
orei_manure,rosemount,2020,1,fertCommercial_cutFall,Tillage date,
orei_manure,rosemount,2020,1,fertCommercial_cutFall,N fertilizer type,NO3
orei_manure,rosemount,2020,1,fertCommercial_cutFall,N fertilizer application date,5/19/2020
orei_manure,rosemount,2020,1,fertCommercial_cutFall,N fertilizer rate,70
orei_manure,rosemount,2020,1,fertCommercial_cutFall,Stand age,1
orei_manure,rosemount,2021,1,fertCommercial_cutFall,Planting date,2019-fall
orei_manure,rosemount,2021,1,fertCommercial_cutFall,Crop type,iwg
orei_manure,rosemount,2021,1,fertCommercial_cutFall,Seed harvesting date,7/26/2021
orei_manure,rosemount,2021,1,fertCommercial_cutFall,Straw harvesting date,7/26/2021
orei_manure,rosemount,2021,1,fertCommercial_cutFall,Hay harvesting date,10/22/2021
orei_manure,rosemount,2021,1,fertCommercial_cutFall,Root harvesting date,
orei_manure,rosemount,2021,1,fertCommercial_cutFall,Tillage type,
orei_manure,rosemount,2021,1,fertCommercial_cutFall,Tillage date,
orei_manure,rosemount,2021,1,fertCommercial_cutFall,N fertilizer type,NO3
orei_manure,rosemount,2021,1,fertCommercial_cutFall,N fertilizer application date,4/22/2021
orei_manure,rosemount,2021,1,fertCommercial_cutFall,N fertilizer rate,70
orei_manure,rosemount,2021,1,fertCommercial_cutFall,Stand age,2
orei_manure,rosemount,2022,1,fertCommercial_cutFall,Planting date,2019-fall
orei_manure,rosemount,2022,1,fertCommercial_cutFall,Crop type,iwg
orei_manure,rosemount,2022,1,fertCommercial_cutFall,Seed harvesting date,7/29/2022
orei_manure,rosemount,2022,1,fertCommercial_cutFall,Straw harvesting date,7/29/2022
orei_manure,rosemount,2022,1,fertCommercial_cutFall,Hay harvesting date,9/1/2022
orei_manure,rosemount,2022,1,fertCommercial_cutFall,Root harvesting date,
orei_manure,rosemount,2022,1,fertCommercial_cutFall,Tillage type,
orei_manure,rosemount,2022,1,fertCommercial_cutFall,Tillage date,
orei_manure,rosemount,2022,1,fertCommercial_cutFall,N fertilizer type,NO3
orei_manure,rosemount,2022,1,fertCommercial_cutFall,N fertilizer application date,4/19/2022
orei_manure,rosemount,2022,1,fertCommercial_cutFall,N fertilizer rate,70
orei_manure,rosemount,2022,1,fertCommercial_cutFall,Stand age,3
orei_manure,rosemount,2020,2,fertCommercial_cutNone,Planting date,2019-fall
orei_manure,rosemount,2020,2,fertCommercial_cutNone,Crop type,iwg
orei_manure,rosemount,2020,2,fertCommercial_cutNone,Seed harvesting date,8/3/2020
orei_manure,rosemount,2020,2,fertCommercial_cutNone,Straw harvesting date,8/3/2020
orei_manure,rosemount,2020,2,fertCommercial_cutNone,Hay harvesting date,10/19/2020
orei_manure,rosemount,2020,2,fertCommercial_cutNone,Root harvesting date,
orei_manure,rosemount,2020,2,fertCommercial_cutNone,Tillage type,
orei_manure,rosemount,2020,2,fertCommercial_cutNone,Tillage date,
orei_manure,rosemount,2020,2,fertCommercial_cutNone,N fertilizer type,NO3
orei_manure,rosemount,2020,2,fertCommercial_cutNone,N fertilizer application date,5/19/2020
orei_manure,rosemount,2020,2,fertCommercial_cutNone,N fertilizer rate,70
orei_manure,rosemount,2020,2,fertCommercial_cutNone,Stand age,1
orei_manure,rosemount,2021,2,fertCommercial_cutNone,Planting date,2019-fall
orei_manure,rosemount,2021,2,fertCommercial_cutNone,Crop type,iwg
orei_manure,rosemount,2021,2,fertCommercial_cutNone,Seed harvesting date,7/26/2021
orei_manure,rosemount,2021,2,fertCommercial_cutNone,Straw harvesting date,7/26/2021
orei_manure,rosemount,2021,2,fertCommercial_cutNone,Hay harvesting date,
orei_manure,rosemount,2021,2,fertCommercial_cutNone,Root harvesting date,
orei_manure,rosemount,2021,2,fertCommercial_cutNone,Tillage type,
orei_manure,rosemount,2021,2,fertCommercial_cutNone,Tillage date,
orei_manure,rosemount,2021,2,fertCommercial_cutNone,N fertilizer type,NO3
orei_manure,rosemount,2021,2,fertCommercial_cutNone,N fertilizer application date,4/22/2021
orei_manure,rosemount,2021,2,fertCommercial_cutNone,N fertilizer rate,70
orei_manure,rosemount,2021,2,fertCommercial_cutNone,Stand age,2
orei_manure,rosemount,2022,2,fertCommercial_cutNone,Planting date,2019-fall
orei_manure,rosemount,2022,2,fertCommercial_cutNone,Crop type,iwg
orei_manure,rosemount,2022,2,fertCommercial_cutNone,Seed harvesting date,7/29/2022
orei_manure,rosemount,2022,2,fertCommercial_cutNone,Straw harvesting date,7/29/2022
orei_manure,rosemount,2022,2,fertCommercial_cutNone,Hay harvesting date,
orei_manure,rosemount,2022,2,fertCommercial_cutNone,Root harvesting date,
orei_manure,rosemount,2022,2,fertCommercial_cutNone,Tillage type,
orei_manure,rosemount,2022,2,fertCommercial_cutNone,Tillage date,
orei_manure,rosemount,2022,2,fertCommercial_cutNone,N fertilizer type,NO3
orei_manure,rosemount,2022,2,fertCommercial_cutNone,N fertilizer application date,4/19/2022
orei_manure,rosemount,2022,2,fertCommercial_cutNone,N fertilizer rate,70
orei_manure,rosemount,2022,2,fertCommercial_cutNone,Stand age,3
orei_manure,rosemount,2020,3,fertControl_cutFall,Planting date,2019-fall
orei_manure,rosemount,2020,3,fertControl_cutFall,Crop type,iwg
orei_manure,rosemount,2020,3,fertControl_cutFall,Seed harvesting date,8/3/2020
orei_manure,rosemount,2020,3,fertControl_cutFall,Straw harvesting date,8/3/2020
orei_manure,rosemount,2020,3,fertControl_cutFall,Hay harvesting date,10/19/2020
orei_manure,rosemount,2020,3,fertControl_cutFall,Root harvesting date,
orei_manure,rosemount,2020,3,fertControl_cutFall,Tillage type,
orei_manure,rosemount,2020,3,fertControl_cutFall,Tillage date,
orei_manure,rosemount,2020,3,fertControl_cutFall,N fertilizer type,
orei_manure,rosemount,2020,3,fertControl_cutFall,N fertilizer application date,
orei_manure,rosemount,2020,3,fertControl_cutFall,N fertilizer rate,0
orei_manure,rosemount,2020,3,fertControl_cutFall,Stand age,1
orei_manure,rosemount,2021,3,fertControl_cutFall,Planting date,2019-fall
orei_manure,rosemount,2021,3,fertControl_cutFall,Crop type,iwg
orei_manure,rosemount,2021,3,fertControl_cutFall,Seed harvesting date,7/26/2021
orei_manure,rosemount,2021,3,fertControl_cutFall,Straw harvesting date,7/26/2021
orei_manure,rosemount,2021,3,fertControl_cutFall,Hay harvesting date,10/22/2021
orei_manure,rosemount,2021,3,fertControl_cutFall,Root harvesting date,
orei_manure,rosemount,2021,3,fertControl_cutFall,Tillage type,
orei_manure,rosemount,2021,3,fertControl_cutFall,Tillage date,
orei_manure,rosemount,2021,3,fertControl_cutFall,N fertilizer type,
orei_manure,rosemount,2021,3,fertControl_cutFall,N fertilizer application date,
orei_manure,rosemount,2021,3,fertControl_cutFall,N fertilizer rate,0
orei_manure,rosemount,2021,3,fertControl_cutFall,Stand age,2
orei_manure,rosemount,2022,3,fertControl_cutFall,Planting date,2019-fall
orei_manure,rosemount,2022,3,fertControl_cutFall,Crop type,iwg
orei_manure,rosemount,2022,3,fertControl_cutFall,Seed harvesting date,7/29/2022
orei_manure,rosemount,2022,3,fertControl_cutFall,Straw harvesting date,7/29/2022
orei_manure,rosemount,2022,3,fertControl_cutFall,Hay harvesting date,9/1/2022
orei_manure,rosemount,2022,3,fertControl_cutFall,Root harvesting date,
orei_manure,rosemount,2022,3,fertControl_cutFall,Tillage type,
orei_manure,rosemount,2022,3,fertControl_cutFall,Tillage date,
orei_manure,rosemount,2022,3,fertControl_cutFall,N fertilizer type,
orei_manure,rosemount,2022,3,fertControl_cutFall,N fertilizer application date,
orei_manure,rosemount,2022,3,fertControl_cutFall,N fertilizer rate,0
orei_manure,rosemount,2022,3,fertControl_cutFall,Stand age,3
orei_manure,rosemount,2020,4,fertControl_cutNone,Planting date,2019-fall
orei_manure,rosemount,2020,4,fertControl_cutNone,Crop type,iwg
orei_manure,rosemount,2020,4,fertControl_cutNone,Seed harvesting date,8/3/2020
orei_manure,rosemount,2020,4,fertControl_cutNone,Straw harvesting date,8/3/2020
orei_manure,rosemount,2020,4,fertControl_cutNone,Hay harvesting date,10/19/2020
orei_manure,rosemount,2020,4,fertControl_cutNone,Root harvesting date,
orei_manure,rosemount,2020,4,fertControl_cutNone,Tillage type,
orei_manure,rosemount,2020,4,fertControl_cutNone,Tillage date,
orei_manure,rosemount,2020,4,fertControl_cutNone,N fertilizer type,
orei_manure,rosemount,2020,4,fertControl_cutNone,N fertilizer application date,
orei_manure,rosemount,2020,4,fertControl_cutNone,N fertilizer rate,0
orei_manure,rosemount,2020,4,fertControl_cutNone,Stand age,1
orei_manure,rosemount,2021,4,fertControl_cutNone,Planting date,2019-fall
orei_manure,rosemount,2021,4,fertControl_cutNone,Crop type,iwg
orei_manure,rosemount,2021,4,fertControl_cutNone,Seed harvesting date,7/26/2021
orei_manure,rosemount,2021,4,fertControl_cutNone,Straw harvesting date,7/26/2021
orei_manure,rosemount,2021,4,fertControl_cutNone,Hay harvesting date,
orei_manure,rosemount,2021,4,fertControl_cutNone,Root harvesting date,
orei_manure,rosemount,2021,4,fertControl_cutNone,Tillage type,
orei_manure,rosemount,2021,4,fertControl_cutNone,Tillage date,
orei_manure,rosemount,2021,4,fertControl_cutNone,N fertilizer type,
orei_manure,rosemount,2021,4,fertControl_cutNone,N fertilizer application date,
orei_manure,rosemount,2021,4,fertControl_cutNone,N fertilizer rate,0
orei_manure,rosemount,2021,4,fertControl_cutNone,Stand age,2
orei_manure,rosemount,2022,4,fertControl_cutNone,Planting date,2019-fall
orei_manure,rosemount,2022,4,fertControl_cutNone,Crop type,iwg
orei_manure,rosemount,2022,4,fertControl_cutNone,Seed harvesting date,7/29/2022
orei_manure,rosemount,2022,4,fertControl_cutNone,Straw harvesting date,7/29/2022
orei_manure,rosemount,2022,4,fertControl_cutNone,Hay harvesting date,
orei_manure,rosemount,2022,4,fertControl_cutNone,Root harvesting date,
orei_manure,rosemount,2022,4,fertControl_cutNone,Tillage type,
orei_manure,rosemount,2022,4,fertControl_cutNone,Tillage date,
orei_manure,rosemount,2022,4,fertControl_cutNone,N fertilizer type,
orei_manure,rosemount,2022,4,fertControl_cutNone,N fertilizer application date,
orei_manure,rosemount,2022,4,fertControl_cutNone,N fertilizer rate,0
orei_manure,rosemount,2022,4,fertControl_cutNone,Stand age,3
orei_manure,rosemount,2020,5,fertManure_cutFall,Planting date,2019-fall
orei_manure,rosemount,2020,5,fertManure_cutFall,Crop type,iwg
orei_manure,rosemount,2020,5,fertManure_cutFall,Seed harvesting date,8/3/2020
orei_manure,rosemount,2020,5,fertManure_cutFall,Straw harvesting date,8/3/2020
orei_manure,rosemount,2020,5,fertManure_cutFall,Hay harvesting date,10/19/2020
orei_manure,rosemount,2020,5,fertManure_cutFall,Root harvesting date,
orei_manure,rosemount,2020,5,fertManure_cutFall,Tillage type,
orei_manure,rosemount,2020,5,fertManure_cutFall,Tillage date,
