"","experiment","site","plot","date","co2.e.kghyr"
"1","atat","r100","1101","2023-05-16",1930.17785143866
"2","atat","r100","1101","2023-05-31",1495.80914556425
"3","atat","v08","1101","2023-06-14",1789.4505177502
"4","atat","r100","1101","2023-06-27",2619.76601700698
"5","atat","r100","1101","2023-07-10",854.51387107272
"6","atat","r100","1101","2023-07-24",3905.73904929035
"7","atat","r100","1101","2023-08-07",6332.2411941593
"8","atat","r100","1101","2023-08-21",2243.91722653168
"9","atat","r100","1102","2023-05-16",2841.6507257292
"10","atat","r100","1102","2023-05-31",3859.93501957585
"11","atat","v08","1102","2023-06-14",1994.29736252168
"12","atat","r100","1102","2023-06-27",3652.46104363085
"13","atat","r100","1102","2023-07-10",3298.72310121492
"14","atat","r100","1102","2023-07-24",4144.10205677553
"15","atat","r100","1102","2023-08-07",4353.31643619777
"16","atat","r100","1102","2023-08-21",2031.85734701675
"17","ATAT","r100","1103","2022-09-02",59964.3592760163
"18","ATAT","r100","1103","2022-09-08",5905.28482180148
"19","ATAT","r100","1103","2022-09-15",23546.7314311629
"20","ATAT","r100","1103","2022-09-27",5031.50763392083
"21","ATAT","r100","1103","2022-10-11",11193.2207641912
"22","ATAT","r100","1103","2022-10-27",-1517.20561645658
"23","atat","r100","1103","2023-05-16",2763.55143108799
"24","atat","r100","1103","2023-05-31",4355.11884700605
"25","atat","v08","1103","2023-06-14",8111.00016000358
"26","atat","r100","1103","2023-06-27",11793.2441625941
"27","atat","r100","1103","2023-07-10",4563.26187863619
"28","atat","r100","1103","2023-07-24",6994.95357988643
"29","atat","r100","1103","2023-08-07",4464.71103449898
"30","atat","r100","1103","2023-08-21",3239.89042825074
"31","atat","r100","1104","2023-05-16",11296.2686234253
"32","atat","r100","1104","2023-05-31",3454.89404319453
"33","atat","v08","1104","2023-06-14",14369.0196690387
"34","atat","r100","1104","2023-06-28",6361.55045153789
"35","atat","r100","1104","2023-07-10",3168.85838925844
"36","atat","r100","1104","2023-07-24",7453.99022920329
"37","atat","r100","1104","2023-08-07",3258.42431807809
"38","atat","r100","1104","2023-08-21",6212.7599593186
"39","ATAT","r100","1105","2022-09-27",2020.51370162955
"40","ATAT","r100","1105","2022-10-11",10472.1393059747
"41","ATAT","r100","1105","2022-10-27",3590.59740676877
"42","atat","r100","1105","2023-05-16",5817.154698382
"43","atat","r100","1105","2023-05-31",1546.85928010396
"44","atat","v08","1105","2023-06-14",2599.85041221387
"45","atat","r100","1105","2023-06-27",7501.84938335187
"46","atat","r100","1105","2023-07-10",4773.16585999626
"47","atat","r100","1105","2023-07-24",8401.14975922327
"48","atat","r100","1105","2023-08-07",4386.98424160915
"49","atat","r100","1105","2023-08-21",9137.87444002077
"50","ATAT","r100","1106","2022-09-02",15817.5874306177
"51","ATAT","r100","1106","2022-09-08",18669.1278797588
"52","ATAT","r100","1106","2022-09-15",16512.6894383169
"53","ATAT","r100","1106","2022-09-27",9164.54622847288
"54","ATAT","r100","1106","2022-10-11",7954.93497590657
"55","ATAT","r100","1106","2022-10-27",-379.77472571602
"56","atat","r100","1106","2023-05-16",2794.26107364533
"57","atat","r100","1106","2023-05-31",5604.2946824904
"58","atat","v08","1106","2023-06-14",6455.35612369265
"59","atat","r100","1106","2023-06-27",15606.8466153104
"60","atat","r100","1106","2023-07-10",5050.23985210123
"61","atat","r100","1106","2023-07-24",5940.78253351593
"62","atat","r100","1106","2023-08-07",9117.70253176477
"63","atat","r100","1106","2023-08-21",3650.21967963109
"64","ATAT","r100","1107","2022-09-27",8446.93122860013
"65","ATAT","r100","1107","2022-10-11",11765.1579930883
"66","ATAT","r100","1107","2022-10-27",5724.24086579099
"67","atat","r100","1107","2023-05-16",4992.52143316196
"68","atat","r100","1107","2023-05-31",8662.7190258689
"69","atat","v08","1107","2023-06-14",4562.5673453511
"70","atat","r100","1107","2023-06-27",7914.11200581649
"71","atat","r100","1107","2023-07-10",6092.3300424014
"72","atat","r100","1107","2023-07-24",5907.63993434206
"73","atat","r100","1107","2023-08-07",6132.18383928737
"74","atat","r100","1107","2023-08-21",6511.13355081477
"75","atat","r100","1108","2023-05-16",2030.42846654725
"76","atat","r100","1108","2023-05-31",4990.0992781512
"77","atat","v08","1108","2023-06-14",-388.716372859347
"78","atat","r100","1108","2023-06-27",7015.91990413523
"79","atat","r100","1108","2023-07-10",6212.75995931844
"80","atat","r100","1108","2023-07-24",2050.81724015051
"81","atat","r100","1108","2023-08-07",3695.50823154366
"82","atat","r100","1109","2023-05-16",-383.751016572899
"83","atat","r100","1109","2023-05-31",8003.46008169916
"84","atat","v08","1109","2023-06-14",6260.20012570664
"85","atat","r100","1109","2023-06-27",8880.04908385553
"86","atat","r100","1109","2023-07-10",11028.7578821757
"87","atat","r100","1109","2023-07-24",9162.58942148276
"88","atat","r100","1109","2023-08-07",2607.23890603471
"89","atat","r100","1109","2023-08-21",6790.92796398439
"90","ATAT","r100","1110","2022-09-27",2284.76940135893
"91","ATAT","r100","1110","2022-10-11",6424.48145316735
"92","ATAT","r100","1110","2022-10-27",593.829571119378
"93","atat","r100","1110","2023-05-16",-5931.45367676772
"94","atat","r100","1110","2023-05-31",2927.79734461011
"95","atat","v08","1110","2023-06-14",5421.11230138068
"96","atat","r100","1110","2023-06-27",16338.4979615817
"97","atat","r100","1110","2023-07-10",7458.6997640311
