"experiment","site","plot","date","ch4.e.gmd"
"atat","r100","1101","2023-05-16",-0.00204601370423231
"atat","r100","1101","2023-05-31",-0.00571911908901586
"atat","v08","1101","2023-06-14",0.00011359997145631
"atat","r100","1101","2023-06-27",-0.0041946084598939
"atat","r100","1101","2023-07-10",-0.00208386643254216
"atat","r100","1101","2023-07-24",0.0023773552519095
"atat","r100","1101","2023-08-07",-0.00414365082741769
"atat","r100","1101","2023-08-21",0.00312728364333405
"atat","r100","1102","2023-05-16",-0.00070823551300348
"atat","r100","1102","2023-05-31",-0.000253468282704814
"atat","v08","1102","2023-06-14",-0.00410883378884901
"atat","r100","1102","2023-06-27",0.000622901437258293
"atat","r100","1102","2023-07-10",0.00611513550823552
"atat","r100","1102","2023-07-24",4.16076658408067e-05
"atat","r100","1102","2023-08-07",-0.00232910630085873
"atat","r100","1102","2023-08-21",0.00322529443340936
"ATAT","r100","1103","2022-09-02",0.0026843243863325
"ATAT","r100","1103","2022-09-08",-0.000862802946575622
"ATAT","r100","1103","2022-09-15",0.00237611231664235
"ATAT","r100","1103","2022-09-27",-0.00213823515868812
"ATAT","r100","1103","2022-10-11",-0.00134215384360048
"ATAT","r100","1103","2022-10-27",-0.00159968917902052
"atat","r100","1103","2023-05-16",0.000947408606940884
"atat","r100","1103","2023-05-31",0.00384328951864192
"atat","v08","1103","2023-06-14",0.00131628087174886
"atat","r100","1103","2023-06-27",-0.00440198662180019
"atat","r100","1103","2023-07-10",0.00294227488979175
"atat","r100","1103","2023-07-24",0.00106341808509589
"atat","r100","1103","2023-08-07",0.00116834463065213
"atat","r100","1103","2023-08-21",0.005333690942467
"atat","r100","1104","2023-05-16",-0.00126321147592126
"atat","r100","1104","2023-05-31",-0.00204261599506933
"atat","v08","1104","2023-06-14",-0.000543745541097379
"atat","r100","1104","2023-06-28",0.00198025738676103
"atat","r100","1104","2023-07-10",-0.00124284695107966
"atat","r100","1104","2023-07-24",0.000154360476484483
"atat","r100","1104","2023-08-07",0.00316229135726313
"atat","r100","1104","2023-08-21",0.00173124236511953
"ATAT","r100","1105","2022-09-27",-0.00467283606208617
"ATAT","r100","1105","2022-10-11",0.000696142072941511
"ATAT","r100","1105","2022-10-27",-0.00502672826779323
"atat","r100","1105","2023-05-16",-0.00434352203306458
"atat","r100","1105","2023-05-31",-0.0025801232086124
"atat","v08","1105","2023-06-14",0.000474481949802735
"atat","r100","1105","2023-06-27",-0.00698086020411133
"atat","r100","1105","2023-07-10",0.00149821802877854
"atat","r100","1105","2023-07-24",-0.000387141432867393
"atat","r100","1105","2023-08-07",0.000357373680668167
"atat","r100","1105","2023-08-21",-0.00110531004143111
"ATAT","r100","1106","2022-09-02",0.00325833503566127
"ATAT","r100","1106","2022-09-08",0.00287446665157013
"ATAT","r100","1106","2022-09-15",-0.000950050865528178
"ATAT","r100","1106","2022-09-27",0.00112855365516101
"ATAT","r100","1106","2022-10-11",-0.000225635647988375
"ATAT","r100","1106","2022-10-27",-0.0019458302972103
"atat","r100","1106","2023-05-16",-0.000180434337909007
"atat","r100","1106","2023-05-31",-0.00470076506684082
"atat","v08","1106","2023-06-14",0.00259869003328336
"atat","r100","1106","2023-06-27",-0.0034064786951342
"atat","r100","1106","2023-07-10",-0.0039473547281167
"atat","r100","1106","2023-07-24",-0.000932135213309779
"atat","r100","1106","2023-08-07",0.00276327510357763
"atat","r100","1106","2023-08-21",-0.00330167208795489
"ATAT","r100","1107","2022-09-27",-0.00378289080681027
"ATAT","r100","1107","2022-10-11",0.00570314127387176
"ATAT","r100","1107","2022-10-27",-0.00178367777244281
"atat","r100","1107","2023-05-16",0.00288924251710747
"atat","r100","1107","2023-05-31",-0.00367455828091753
"atat","v08","1107","2023-06-14",0.0029021553657541
"atat","r100","1107","2023-06-27",0.00355278227602834
"atat","r100","1107","2023-07-10",0.000470619789041196
"atat","r100","1107","2023-07-24",-0.0022208327082143
"atat","r100","1107","2023-08-07",-0.00300999122787686
"atat","r100","1107","2023-08-21",-0.0015894317247129
"atat","r100","1108","2023-05-16",0.00143522291779585
"atat","r100","1108","2023-05-31",0.00462776125890525
"atat","v08","1108","2023-06-14",0.00582326977358408
"atat","r100","1108","2023-06-27",0.00483182802369688
"atat","r100","1108","2023-07-10",-0.00314771339112656
"atat","r100","1108","2023-07-24",-0.00447088799589162
"atat","r100","1108","2023-08-07",0.00472855938102066
"atat","r100","1109","2023-05-16",-0.00252805304362993
"atat","r100","1109","2023-05-31",0.00478793291281708
"atat","v08","1109","2023-06-14",-0.00138461621192496
"atat","r100","1109","2023-06-27",-0.00111260220729903
"atat","r100","1109","2023-07-10",0.00169212555660471
"atat","r100","1109","2023-07-24",0.00295793281477957
"atat","r100","1109","2023-08-07",0.00151958446015227
"atat","r100","1109","2023-08-21",0.00509515123651408
"ATAT","r100","1110","2022-09-27",0.00379780356956135
"ATAT","r100","1110","2022-10-11",0.0023368039315259
"ATAT","r100","1110","2022-10-27",0.0055942621044795
"atat","r100","1110","2023-05-16",-0.000970851202188685
"atat","r100","1110","2023-05-31",0.00601998245575351
"atat","v08","1110","2023-06-14",0.00804621875374408
"atat","r100","1110","2023-06-27",-0.000717611458897908
"atat","r100","1110","2023-07-10",0.00683455641626517
"atat","r100","1110","2023-07-25",0.00728052921040361
"atat","r100","1110","2023-08-07",0.00798765421086415
"atat","r100","1110","2023-08-21",0.00406497566854147
"ATAT","r100","1201","2022-09-02",-0.0061218949732901
"ATAT","r100","1201","2022-09-08",0.00133052786572406
"ATAT","r100","1201","2022-09-15",-0.00229709856864279
"ATAT","r100","1201","2022-09-27",0.000372896389786568
"ATAT","r100","1201","2022-10-11",-0.0033662573194772
"ATAT","r100","1201","2022-10-27",0.000401175833128318
"atat","r100","1201","2023-05-16",0.000919150137118482
"atat","r100","1201","2023-05-31",-0.0010702375349602
"atat","R100","1201","2023-06-14",0.00455586496538151
"atat","r100","1201","2023-06-28",0.00292117653806772
"atat","r100","1201","2023-07-10",-0.000923205289503529
"atat","r100","1201","2023-07-24",0.000411770129556433
"atat","r100","1201","2023-08-07",-0.000849285475229273
"atat","r100","1201","2023-08-21",-0.00101307956582677
