"","experiment","site","year","treatment name","managementInformation","value"
"1","eddyflux","rosemount",2022,"eddyflux_i10","Planting date","2022-08-22"
"2","eddyflux","rosemount",2022,"eddyflux_i10","Crop type","iwg"
"3","eddyflux","rosemount",2022,"eddyflux_i10","Seed harvesting date",""
"4","eddyflux","rosemount",2022,"eddyflux_i10","Straw harvesting date",""
"5","eddyflux","rosemount",2022,"eddyflux_i10","Hay harvesting date",""
"6","eddyflux","rosemount",2022,"eddyflux_i10","Root harvesting date",""
"7","eddyflux","rosemount",2022,"eddyflux_i10","Tillage type",""
"8","eddyflux","rosemount",2022,"eddyflux_i10","Tillage date",""
"9","eddyflux","rosemount",2022,"eddyflux_i10","N fertilizer type",""
"10","eddyflux","rosemount",2022,"eddyflux_i10","N fertilizer application date",""
"11","eddyflux","rosemount",2022,"eddyflux_i10","N fertilizer rate",""
"12","eddyflux","rosemount",2022,"eddyflux_i10","Stand age","0"
"13","eddyflux","rosemount",2023,"eddyflux_i10","Planting date","2022-08-22"
"14","eddyflux","rosemount",2023,"eddyflux_i10","Crop type","iwg"
"15","eddyflux","rosemount",2023,"eddyflux_i10","Seed harvesting date",""
"16","eddyflux","rosemount",2023,"eddyflux_i10","Straw harvesting date",""
"17","eddyflux","rosemount",2023,"eddyflux_i10","Hay harvesting date",""
"18","eddyflux","rosemount",2023,"eddyflux_i10","Root harvesting date",""
"19","eddyflux","rosemount",2023,"eddyflux_i10","Tillage type",""
"20","eddyflux","rosemount",2023,"eddyflux_i10","Tillage date",""
"21","eddyflux","rosemount",2023,"eddyflux_i10","N fertilizer type",""
"22","eddyflux","rosemount",2023,"eddyflux_i10","N fertilizer application date",""
"23","eddyflux","rosemount",2023,"eddyflux_i10","N fertilizer rate",""
"24","eddyflux","rosemount",2023,"eddyflux_i10","Stand age","1"
"25","eddyflux","rosemount",2024,"eddyflux_i10","Planting date","2022-08-22"
"26","eddyflux","rosemount",2024,"eddyflux_i10","Crop type","iwg"
"27","eddyflux","rosemount",2024,"eddyflux_i10","Seed harvesting date","2024-08-07"
"28","eddyflux","rosemount",2024,"eddyflux_i10","Straw harvesting date",""
"29","eddyflux","rosemount",2024,"eddyflux_i10","Hay harvesting date",""
"30","eddyflux","rosemount",2024,"eddyflux_i10","Root harvesting date",""
"31","eddyflux","rosemount",2024,"eddyflux_i10","Tillage type",""
"32","eddyflux","rosemount",2024,"eddyflux_i10","Tillage date",""
"33","eddyflux","rosemount",2024,"eddyflux_i10","N fertilizer type",""
"34","eddyflux","rosemount",2024,"eddyflux_i10","N fertilizer application date",""
"35","eddyflux","rosemount",2024,"eddyflux_i10","N fertilizer rate",""
"36","eddyflux","rosemount",2024,"eddyflux_i10","Stand age","2"
"37","fert","rosemount",2021,"0N_spring","Planting date","2021-09-02"
"38","fert","rosemount",2021,"80N_spring","Planting date","2021-09-02"
"39","fert","rosemount",2021,"160N_spring","Planting date","2021-09-02"
"40","fert","rosemount",2021,"BAU1","Planting date",""
"41","fert","rosemount",2021,"BAU2","Planting date",""
"42","fert","rosemount",2021,"0N_spring","Crop type","iwg"
"43","fert","rosemount",2021,"80N_spring","Crop type","iwg"
"44","fert","rosemount",2021,"160N_spring","Crop type","iwg"
"45","fert","rosemount",2021,"BAU1","Crop type",""
"46","fert","rosemount",2021,"BAU2","Crop type",""
"47","fert","rosemount",2021,"0N_spring","Seed harvesting date",""
"48","fert","rosemount",2021,"80N_spring","Seed harvesting date",""
"49","fert","rosemount",2021,"160N_spring","Seed harvesting date",""
"50","fert","rosemount",2021,"BAU1","Seed harvesting date",""
"51","fert","rosemount",2021,"BAU2","Seed harvesting date",""
"52","fert","rosemount",2021,"0N_spring","Straw harvesting date",""
"53","fert","rosemount",2021,"80N_spring","Straw harvesting date",""
"54","fert","rosemount",2021,"160N_spring","Straw harvesting date",""
"55","fert","rosemount",2021,"BAU1","Straw harvesting date",""
"56","fert","rosemount",2021,"BAU2","Straw harvesting date",""
"57","fert","rosemount",2021,"0N_spring","Hay harvesting date",""
"58","fert","rosemount",2021,"80N_spring","Hay harvesting date",""
"59","fert","rosemount",2021,"160N_spring","Hay harvesting date",""
