"experiment","site","year","plot","treatment name","information","value","date","time","co2_ppm","n2o_ppm","ch4_ppm","nh3_ppm","temp_celsius","...12"
"FERT","rosemount","2021","2103","BAU1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FERT","rosemount","2021","2203","BAU1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FERT","rosemount","2021","2306","BAU1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FERT","rosemount","2021","2411","BAU1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FERT","rosemount","2021","2110","BAU2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FERT","rosemount","2021","2211","BAU2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FERT","rosemount","2021","2303","BAU2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FERT","rosemount","2021","2401","BAU2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FERT","rosemount","2021","2101","0N_spring",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FERT","rosemount","2021","2204","0N_spring",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FERT","rosemount","2021","2308","0N_spring",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FERT","rosemount","2021","2409","0N_spring",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FERT","rosemount","2021","2106","80N_spring",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FERT","rosemount","2021","2208","80N_spring",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FERT","rosemount","2021","2310","80N_spring",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FERT","rosemount","2021","2405","80N_spring",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FERT","rosemount","2021","2105","160N_spring",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FERT","rosemount","2021","2205","160N_spring",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FERT","rosemount","2021","2311","160N_spring",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FERT","rosemount","2021","2406","160N_spring",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FERT","rosemount","2022","2103","BAU1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FERT","rosemount","2022","2203","BAU1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FERT","rosemount","2022","2306","BAU1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FERT","rosemount","2022","2411","BAU1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FERT","rosemount","2022","2110","BAU2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FERT","rosemount","2022","2211","BAU2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FERT","rosemount","2022","2303","BAU2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FERT","rosemount","2022","2401","BAU2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FERT","rosemount","2022","2101","0N_spring",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
