experiment,treatment ,treatment name,year,site,information,value
ORG,1,Soy-CC-Corn,2018,st paul,Crop type,soybean
ORG,1,Soy-CC-Corn,2018,rosemount,Crop type,soybean
ORG,1,Soy-CC-Corn,2018,lamberton,Crop type,soybean
ORG,6,SB-C-SB,2018,st paul,Crop type,soybean
ORG,6,SB-C-SB,2018,rosemount,Crop type,soybean
ORG,6,SB-C-SB,2018,lamberton,Crop type,soybean
ORG,2,IWG/manured,2018,st paul,Crop type,iwg
ORG,2,IWG/manured,2018,rosemount,Crop type,iwg
ORG,2,IWG/manured,2018,lamberton,Crop type,iwg
ORG,1,Soy-CC-Corn,2019,st paul,Crop type,corn
ORG,1,Soy-CC-Corn,2019,rosemount,Crop type,corn
ORG,1,Soy-CC-Corn,2019,lamberton,Crop type,corn
ORG,6,SB-C-SB,2019,st paul,Crop type,corn
ORG,6,SB-C-SB,2019,rosemount,Crop type,corn
ORG,6,SB-C-SB,2019,lamberton,Crop type,corn
ORG,2,IWG/manured,2019,st paul,Crop type,iwg
ORG,2,IWG/manured,2019,rosemount,Crop type,iwg
ORG,2,IWG/manured,2019,lamberton,Crop type,iwg
ORG,1,Soy-CC-Corn,2019,st paul,Hay harvesting date,na
ORG,1,Soy-CC-Corn,2019,rosemount,Hay harvesting date,na
ORG,1,Soy-CC-Corn,2019,lamberton,Hay harvesting date,na
ORG,1,Soy-CC-Corn,2018,st paul,Hay harvesting date,na
ORG,1,Soy-CC-Corn,2018,rosemount,Hay harvesting date,na
ORG,1,Soy-CC-Corn,2018,lamberton,Hay harvesting date,na
ORG,6,SB-C-SB,2019,st paul,Hay harvesting date,na
ORG,6,SB-C-SB,2019,rosemount,Hay harvesting date,na
ORG,6,SB-C-SB,2019,lamberton,Hay harvesting date,na
ORG,6,SB-C-SB,2018,st paul,Hay harvesting date,na
ORG,6,SB-C-SB,2018,rosemount,Hay harvesting date,na
ORG,6,SB-C-SB,2018,lamberton,Hay harvesting date,na
ORG,2,IWG/manured,2019,st paul,Hay harvesting date,na
ORG,2,IWG/manured,2019,rosemount,Hay harvesting date,na
ORG,2,IWG/manured,2019,lamberton,Hay harvesting date,na
ORG,2,IWG/manured,2018,st paul,Hay harvesting date,na
ORG,2,IWG/manured,2018,rosemount,Hay harvesting date,na
