"","experiment","site","year","treatment name","managementInformation","value"
"1","orei_manure","rosemount",2021,"0N_spring","Planting date","2021-09-02"
"2","orei_manure","rosemount",2021,"80N_spring","Planting date","2021-09-02"
"3","orei_manure","rosemount",2021,"160N_spring","Planting date","2021-09-02"
"4","orei_manure","rosemount",2021,"BAU1","Planting date",""
"5","orei_manure","rosemount",2021,"BAU2","Planting date",""
"6","orei_manure","rosemount",2021,"0N_spring","Crop type","iwg"
"7","orei_manure","rosemount",2021,"80N_spring","Crop type","iwg"
"8","orei_manure","rosemount",2021,"160N_spring","Crop type","iwg"
"9","orei_manure","rosemount",2021,"BAU1","Crop type",""
"10","orei_manure","rosemount",2021,"BAU2","Crop type",""
"11","orei_manure","rosemount",2021,"0N_spring","Seed harvesting date",""
"12","orei_manure","rosemount",2021,"80N_spring","Seed harvesting date",""
"13","orei_manure","rosemount",2021,"160N_spring","Seed harvesting date",""
"14","orei_manure","rosemount",2021,"BAU1","Seed harvesting date",""
"15","orei_manure","rosemount",2021,"BAU2","Seed harvesting date",""
"16","orei_manure","rosemount",2021,"0N_spring","Straw harvesting date",""
"17","orei_manure","rosemount",2021,"80N_spring","Straw harvesting date",""
"18","orei_manure","rosemount",2021,"160N_spring","Straw harvesting date",""
"19","orei_manure","rosemount",2021,"BAU1","Straw harvesting date",""
"20","orei_manure","rosemount",2021,"BAU2","Straw harvesting date",""
"21","orei_manure","rosemount",2021,"0N_spring","Hay harvesting date",""
"22","orei_manure","rosemount",2021,"80N_spring","Hay harvesting date",""
"23","orei_manure","rosemount",2021,"160N_spring","Hay harvesting date",""
"24","orei_manure","rosemount",2021,"BAU1","Hay harvesting date",""
"25","orei_manure","rosemount",2021,"BAU2","Hay harvesting date",""
"26","orei_manure","rosemount",2021,"0N_spring","Root harvesting date",""
"27","orei_manure","rosemount",2021,"80N_spring","Root harvesting date",""
"28","orei_manure","rosemount",2021,"160N_spring","Root harvesting date",""
"29","orei_manure","rosemount",2021,"BAU1","Root harvesting date",""
"30","orei_manure","rosemount",2021,"BAU2","Root harvesting date",""
"31","orei_manure","rosemount",2021,"0N_spring","Tillage type","field cultivator & disc"
"32","orei_manure","rosemount",2021,"80N_spring","Tillage type","field cultivator & disc"
"33","orei_manure","rosemount",2021,"160N_spring","Tillage type",""
"34","orei_manure","rosemount",2021,"BAU1","Tillage type","field cultivator & disc"
"35","orei_manure","rosemount",2021,"BAU2","Tillage type","field cultivator & disc"
"36","orei_manure","rosemount",2021,"0N_spring","Tillage date","2021-09-01"
"37","orei_manure","rosemount",2021,"80N_spring","Tillage date","2021-09-01"
"38","orei_manure","rosemount",2021,"160N_spring","Tillage date",""
"39","orei_manure","rosemount",2021,"BAU1","Tillage date","2021-09-01"
"40","orei_manure","rosemount",2021,"BAU2","Tillage date","2021-09-01"
"41","orei_manure","rosemount",2021,"0N_spring","N fertilizer type",""
"42","orei_manure","rosemount",2021,"80N_spring","N fertilizer type",""
"43","orei_manure","rosemount",2021,"160N_spring","N fertilizer type",""
"44","orei_manure","rosemount",2021,"BAU1","N fertilizer type",""
"45","orei_manure","rosemount",2021,"BAU2","N fertilizer type",""
"46","orei_manure","rosemount",2021,"0N_spring","N fertilizer application date",""
"47","orei_manure","rosemount",2021,"80N_spring","N fertilizer application date",""
"48","orei_manure","rosemount",2021,"160N_spring","N fertilizer application date",""
"49","orei_manure","rosemount",2021,"BAU1","N fertilizer application date",""
"50","orei_manure","rosemount",2021,"BAU2","N fertilizer application date",""
"51","orei_manure","rosemount",2021,"0N_spring","N fertilizer rate",""
"52","orei_manure","rosemount",2021,"80N_spring","N fertilizer rate",""
"53","orei_manure","rosemount",2021,"160N_spring","N fertilizer rate",""
"54","orei_manure","rosemount",2021,"BAU1","N fertilizer rate",""
"55","orei_manure","rosemount",2021,"BAU2","N fertilizer rate",""
"56","orei_manure","rosemount",2021,"0N_spring","Stand age","0"
"57","orei_manure","rosemount",2021,"80N_spring","Stand age","0"
"58","orei_manure","rosemount",2021,"160N_spring","Stand age","0"
"59","orei_manure","rosemount",2021,"BAU1","Stand age",""
"60","orei_manure","rosemount",2021,"BAU2","Stand age",""
"61","orei_manure","rosemount",2022,"0N_spring","Planting date","2021-09-02"
"62","orei_manure","rosemount",2022,"80N_spring","Planting date","2021-09-02"
"63","orei_manure","rosemount",2022,"160N_spring","Planting date","2021-09-02"
"64","orei_manure","rosemount",2022,"BAU1","Planting date","2022-05-10"
"65","orei_manure","rosemount",2022,"BAU2","Planting date","2022-06-02"
"66","orei_manure","rosemount",2022,"0N_spring","Crop type","iwg"
"67","orei_manure","rosemount",2022,"80N_spring","Crop type","iwg"
"68","orei_manure","rosemount",2022,"160N_spring","Crop type","iwg"
"69","orei_manure","rosemount",2022,"BAU1","Crop type","corn"
"70","orei_manure","rosemount",2022,"BAU2","Crop type","soy"
"71","orei_manure","rosemount",2022,"0N_spring","Seed harvesting date","2022-08-01"
"72","orei_manure","rosemount",2022,"80N_spring","Seed harvesting date","2022-08-01"
"73","orei_manure","rosemount",2022,"160N_spring","Seed harvesting date","2022-08-01"
"74","orei_manure","rosemount",2022,"BAU1","Seed harvesting date",""
"75","orei_manure","rosemount",2022,"BAU2","Seed harvesting date",""
"76","orei_manure","rosemount",2022,"0N_spring","Straw harvesting date",""
"77","orei_manure","rosemount",2022,"80N_spring","Straw harvesting date",""
"78","orei_manure","rosemount",2022,"160N_spring","Straw harvesting date",""
"79","orei_manure","rosemount",2022,"BAU1","Straw harvesting date",""
"80","orei_manure","rosemount",2022,"BAU2","Straw harvesting date",""
"81","orei_manure","rosemount",2022,"0N_spring","Hay harvesting date",""
"82","orei_manure","rosemount",2022,"80N_spring","Hay harvesting date",""
"83","orei_manure","rosemount",2022,"160N_spring","Hay harvesting date",""
"84","orei_manure","rosemount",2022,"BAU1","Hay harvesting date",""
"85","orei_manure","rosemount",2022,"BAU2","Hay harvesting date",""
"86","orei_manure","rosemount",2022,"0N_spring","Root harvesting date",""
"87","orei_manure","rosemount",2022,"80N_spring","Root harvesting date",""
"88","orei_manure","rosemount",2022,"160N_spring","Root harvesting date",""
"89","orei_manure","rosemount",2022,"BAU1","Root harvesting date",""
"90","orei_manure","rosemount",2022,"BAU2","Root harvesting date",""
"91","orei_manure","rosemount",2022,"0N_spring","Tillage type",""
"92","orei_manure","rosemount",2022,"80N_spring","Tillage type",""
"93","orei_manure","rosemount",2022,"160N_spring","Tillage type",""
"94","orei_manure","rosemount",2022,"BAU1","Tillage type",""
"95","orei_manure","rosemount",2022,"BAU2","Tillage type",""
"96","orei_manure","rosemount",2022,"0N_spring","Tillage date",""
"97","orei_manure","rosemount",2022,"80N_spring","Tillage date",""
"98","orei_manure","rosemount",2022,"160N_spring","Tillage date",""
"99","orei_manure","rosemount",2022,"BAU1","Tillage date",""
"100","orei_manure","rosemount",2022,"BAU2","Tillage date",""
"101","orei_manure","rosemount",2022,"0N_spring","N fertilizer type",""
"102","orei_manure","rosemount",2022,"80N_spring","N fertilizer type","urea"
"103","orei_manure","rosemount",2022,"160N_spring","N fertilizer type",""
"104","orei_manure","rosemount",2022,"BAU1","N fertilizer type","urea"
"105","orei_manure","rosemount",2022,"BAU2","N fertilizer type","urea"
"106","orei_manure","rosemount",2022,"0N_spring","N fertilizer application date",""
"107","orei_manure","rosemount",2022,"80N_spring","N fertilizer application date","2022-04-29"
"108","orei_manure","rosemount",2022,"160N_spring","N fertilizer application date","2022-04-29"
"109","orei_manure","rosemount",2022,"BAU1","N fertilizer application date","2022-04-29"
