"experiment","site","plot","date","slope_CO2_ugcm3","slope_N2O_ugcm3","slope_CH4_ugcm3","co2.e.gmhr","n2o.e.gmhr","ch4.e.gmhr"
"atat","r100",1101,"2023-05-16",1.46e-05,0,0,0.0171618938,0,0
"atat","r100",1101,"2023-05-31",1.05e-05,1.78e-07,0,0.01232545206,0.000179,0
"atat","r100",1101,"2023-06-27",3.52e-05,0,0,0.04142627014,0,0
"atat","r100",1101,"2023-07-10",2.15e-05,0,0,0.02530771196,0,0
"atat","r100",1101,"2023-07-24",2.33e-05,0,0,0.02744774383,0,0
"atat","r100",1101,"2023-08-07",4.46e-05,0,-1.89e-07,0.05248170293,0,-8.09e-05
"atat","r100",1101,"2023-08-21",2.46e-05,0,0,0.02894958452,0,0
"atat","r100",1102,"2023-05-16",3.23e-05,0,0,0.03801919539,0,0
"atat","r100",1102,"2023-05-31",3e-05,0,0,0.035366963,0,0
"atat","r100",1102,"2023-06-27",3.71e-05,-4.31e-07,0,0.04369243836,-0.000435,0
"atat","r100",1102,"2023-07-10",3.27e-05,0,0,0.03844964946,0,0
"atat","r100",1102,"2023-07-24",4.69e-05,0,0,0.05520021104,0,0
"atat","r100",1102,"2023-08-07",3e-05,0,0,0.03534033251,0,0
"atat","r100",1102,"2023-08-21",3.09e-05,0,0,0.03635863271,0,0
"atat","r100",1103,"2022-09-02",0.000447,3.59e-07,0,0.5257270444,0.000362,0
"atat","r100",1103,"2022-09-08",6.98e-05,-8.18e-08,0,0.08218168355,-8.25e-05,0
"atat","r100",1103,"2022-09-15",0.000275,0,0,0.3232874264,0,0
"atat","r100",1103,"2022-09-27",6.41e-05,2.22e-07,0,0.07547387773,0.000224,0
"atat","r100",1103,"2022-10-11",0.000107,0,0,0.1253754555,0,0
"atat","r100",1103,"2022-10-27",2.82e-05,0,0,0.03320185996,0,0
"atat","r100",1103,"2023-05-16",2.72e-05,0,0,0.0319834683,0,0
"atat","r100",1103,"2023-05-31",5.09e-05,0,0,0.05990348319,0,0
"atat","r100",1103,"2023-06-27",0.000105,-5.33e-07,0,0.1232090555,-0.000538,0
"atat","r100",1103,"2023-07-10",5.68e-05,0,1.78e-07,0.06683445651,0,7.64e-05
"atat","r100",1103,"2023-07-24",6.82e-05,2.98e-07,0,0.08022783517,0.000301,0
"atat","r100",1103,"2023-08-07",3.69e-05,-6.59e-08,2.19e-07,0.04346794635,-6.65e-05,9.38e-05
"atat","r100",1103,"2023-08-21",3.18e-05,0,0,0.03741772516,0,0
"atat","r100",1104,"2023-05-16",0.000116,2.85e-07,0,0.1368902761,0.000287,0
"atat","r100",1104,"2023-05-31",3.98e-05,0,0,0.04680765372,0,0
"atat","r100",1104,"2023-06-28",5.91e-05,6.5e-07,0,0.0695917796,0.000656,0
"atat","r100",1104,"2023-07-10",0,0,0,0,0,0
"atat","r100",1104,"2023-07-24",6.74e-05,0,0,0.07928953907,0,0
"atat","r100",1104,"2023-08-07",4.99e-05,0,0,0.05870235796,0,0
"atat","r100",1104,"2023-08-21",6.15e-05,0,0,0.07244767894,0,0
"atat","r100",1105,"2022-09-27",1.82e-05,0,0,0.02148420538,0,0
"atat","r100",1105,"2022-10-11",0.000102,0,0,0.1206071455,0,0
"atat","r100",1105,"2022-10-27",4.8e-05,0,0,0.05650553514,0,0
"atat","r100",1105,"2023-05-16",5.94e-05,0,0,0.06993267483,0,0
"atat","r100",1105,"2023-05-31",1.23e-05,0,0,0.01449047872,0,0
"atat","r100",1105,"2023-06-27",6.32e-05,0,0,0.07436689483,0,0
"atat","r100",1105,"2023-07-10",4e-05,0,0,0.04704943569,0,0
"atat","r100",1105,"2023-07-24",7.27e-05,0,0,0.08557628198,0,0
"atat","r100",1105,"2023-08-07",5.41e-05,0,0,0.06372568684,0,0
"atat","r100",1105,"2023-08-21",6.45e-05,-2.29e-07,0,0.07598352902,-0.000231,0
"atat","r100",1106,"2022-09-02",0.000171,3.16e-07,0,0.2017321835,0.000319,0
"atat","r100",1106,"2022-09-08",0.000351,2.79e-07,0,0.4134791452,0.000281,0
"atat","r100",1106,"2022-09-15",0.000127,2.64e-07,0,0.1496571554,0.000267,0
"atat","r100",1106,"2022-09-27",6.05e-05,-8.87e-08,-1.5e-07,0.07125886829,-8.95e-05,-6.44e-05
"atat","r100",1106,"2022-10-11",7.31e-05,-1.29e-07,0,0.08604861376,-0.00013,0
"atat","r100",1106,"2022-10-27",0,9.54e-08,0,0,9.63e-05,0
"atat","r100",1106,"2023-05-16",3.07e-05,-2.35e-07,0,0.03619868065,-0.000237,0
"atat","r100",1106,"2023-05-31",5.24e-05,0,0,0.06165513192,0,0
"atat","r100",1106,"2023-06-27",0.000116,0,0,0.1364112439,0,0
"atat","r100",1106,"2023-07-10",5.6e-05,0,0,0.06590483769,0,0
"atat","r100",1106,"2023-07-24",5.63e-05,0,0,0.06629644972,0,0
"atat","r100",1106,"2023-08-07",7.04e-05,0,0,0.08285238484,0,0
"atat","r100",1106,"2023-08-21",5.9e-05,0,0,0.06944710316,0,0
"atat","r100",1107,"2022-09-27",5.27e-05,-1.26e-07,0,0.06205936827,-0.000127,0
"atat","r100",1107,"2022-10-11",9.89e-05,0,0,0.1163876252,0,0
"atat","r100",1107,"2022-10-27",4.96e-05,3.35e-07,0,0.0583871932,0.000338,0
"atat","r100",1107,"2023-05-16",6.2e-05,2.13e-07,2.25e-07,0.07294914762,0.000215,9.63e-05
"atat","r100",1107,"2023-05-31",7.84e-05,1.49e-07,0,0.09230354919,0.00015,0
"atat","r100",1107,"2023-06-27",8.54e-05,1.11e-07,0,0.1004778232,0.000112,0
"atat","r100",1107,"2023-07-10",5.14e-05,0,0,0.06056110667,0,0
"atat","r100",1107,"2023-07-24",5.29e-05,0,0,0.06221829047,0,0
"atat","r100",1107,"2023-08-07",5.94e-05,-1.5e-07,0,0.06990846716,-0.000151,0
"atat","r100",1107,"2023-08-21",5.14e-05,0,0,0.06053096353,0,0
"atat","r100",1108,"2023-05-16",2.95e-05,1.78e-07,0,0.03470031165,0.000179,0
"atat","r100",1108,"2023-05-31",4.63e-05,1.98e-07,0,0.05454547541,2e-04,0
"atat","r100",1108,"2023-06-27",6.48e-05,5.1e-07,0,0.07626569016,0.000515,0
"atat","r100",1108,"2023-07-10",8.73e-05,9.02e-08,0,0.1027523511,9.1e-05,0
"atat","r100",1108,"2023-07-24",-1.92e-05,0,0,-0.02264528973,0,0
"atat","r100",1108,"2023-08-07",3.24e-05,0,0,0.03819471321,0,0
"atat","r100",1108,"2023-08-21",0,0,0,0,0,0
"atat","r100",1109,"2023-05-16",1.23e-05,0,0,0.01449831827,0,0
"atat","r100",1109,"2023-05-31",6.72e-05,2.13e-07,0,0.07908052464,0.000215,0
"atat","r100",1109,"2023-06-27",8.19e-05,4.52e-07,0,0.09637406512,0.000456,0
"atat","r100",1109,"2023-07-10",9.99e-05,8.37e-08,0,0.1175897522,8.44e-05,0
"atat","r100",1109,"2023-07-24",7.38e-05,-1.97e-07,0,0.086887598,-0.000198,0
"atat","r100",1109,"2023-08-07",3.42e-05,-1.35e-07,0,0.04024324804,-0.000136,0
"atat","r100",1109,"2023-08-21",4.02e-05,0,0,0.04728102773,0,0
"atat","r100",1110,"2022-09-27",1.82e-05,0,0,0.02143227516,0,0
"atat","r100",1110,"2022-10-11",7.71e-05,0,0,0.09071361413,0,0
"atat","r100",1110,"2022-10-27",0,0,0,0,0,0
"atat","r100",1110,"2023-05-16",4.5e-05,-1.7e-07,0,0.05298406706,-0.000172,0
"atat","r100",1110,"2023-05-31",4.45e-05,0,0,0.05235772924,0,0
"atat","r100",1110,"2023-06-27",0.000102,0,0,0.1197716169,0,0
"atat","r100",1110,"2023-07-10",5.6e-05,0,0,0.06588064977,0,0
"atat","r100",1110,"2023-07-25",0.000214,0,0,0.2519637526,0,0
"atat","r100",1110,"2023-08-07",6.56e-05,0,0,0.07722685834,0,0
"atat","r100",1110,"2023-08-21",3.31e-05,-1.18e-07,0,0.03899733263,-0.000119,0
"atat","r100",1201,"2022-09-02",3.04e-05,0,0,0.03581364674,0,0
"atat","r100",1201,"2022-09-08",8.68e-05,0,0,0.1021378205,0,0
"atat","r100",1201,"2022-09-15",0.000161,0,0,0.1896546506,0,0
"atat","r100",1201,"2022-09-27",1.34e-05,-2.96e-07,0,0.01582689604,-0.000298,0
"atat","r100",1201,"2022-10-11",6.31e-05,0,0,0.07423000238,0,0
"atat","r100",1201,"2022-10-27",2.68e-05,0,0,0.03155553785,0,0
"atat","r100",1201,"2023-05-16",8.08e-05,0,0,0.09506955547,0,0
"atat","r100",1201,"2023-05-31",0.00019,1.55e-07,0,0.2242173795,0.000157,0
"atat","r100",1201,"2023-06-14",0.000135,-1.78e-07,0,0.1592516422,-0.00018,0
"atat","r100",1201,"2023-06-28",8.42e-05,0,0,0.09915691723,0,0
"atat","r100",1201,"2023-07-10",6.09e-05,0,0,0.07163998918,0,0
"atat","r100",1201,"2023-07-24",5.17e-05,0,0,0.06091463073,0,0
"atat","r100",1201,"2023-08-07",2.96e-05,0,0,0.03484447496,0,0
"atat","r100",1201,"2023-08-21",2.19e-05,0,0,0.02583305969,0,0
"atat","r100",1202,"2023-05-16",9.12e-05,-5.53e-08,0,0.1073848037,-5.58e-05,0
"atat","r100",1202,"2023-05-31",0.000171,9.44e-08,0,0.2018802479,9.52e-05,0
"atat","r100",1202,"2023-06-14",5.49e-05,1.32e-07,0,0.06457665738,0.000133,0
"atat","r100",1202,"2023-06-27",8.37e-05,0,0,0.09856603959,0,0
"atat","r100",1202,"2023-07-10",7.39e-05,1.78e-07,0,0.08705040556,0.000179,0
"atat","r100",1202,"2023-07-24",9.45e-05,1.64e-07,0,0.1112330891,0.000166,0
"atat","r100",1202,"2023-08-07",3.37e-05,0,0,0.03970269958,0,0
"atat","r100",1202,"2023-08-21",2.64e-05,8.7e-08,0,0.03107377547,8.77e-05,0
"atat","r100",1203,"2023-05-16",3.16e-05,0,0,0.03714796502,0,0
"atat","r100",1203,"2023-05-31",0.00014,2.26e-07,0,0.1649636517,0.000228,0
"atat","r100",1203,"2023-06-14",3.1e-05,0,0,0.0365131128,0,0
"atat","r100",1203,"2023-06-27",5.77e-05,-1.86e-07,0,0.06794513211,-0.000188,0
"atat","r100",1203,"2023-07-10",6.04e-05,0,0,0.07107525728,0,0
"atat","r100",1203,"2023-07-24",7.66e-05,1.09e-07,0,0.09014363241,0.00011,0
"atat","r100",1203,"2023-08-07",2.47e-05,0,0,0.02908364113,0,0
"atat","r100",1203,"2023-08-21",2.46e-05,-1.23e-07,0,0.02891258561,-0.000125,0
"atat","r100",1204,"2023-05-16",5.83e-05,0,0,0.06858694331,0,0
"atat","r100",1204,"2023-05-31",9.53e-05,-1.82e-07,0,0.1122190705,-0.000184,0
"atat","r100",1204,"2023-06-14",5.29e-05,1.89e-07,0,0.06227119974,0.000191,0
"atat","r100",1204,"2023-06-27",7.32e-05,0,0,0.08613969553,0,0
"atat","r100",1204,"2023-07-10",2.72e-05,-8.66e-08,0,0.03199668415,-8.74e-05,0
"atat","r100",1204,"2023-07-24",6.71e-05,0,0,0.07900247488,0,0
"atat","r100",1204,"2023-08-07",2.97e-05,0,0,0.03497172144,0,0
