"","experiment","site","year","treatment name","managementInformation","value"
"1","orei_manure","rosemount",2020,"fertControl_cutNone","Planting date","2019-fall"
"2","orei_manure","rosemount",2020,"fertManure_cutNone","Planting date","2019-fall"
"3","orei_manure","rosemount",2020,"fertCommercial_cutNone","Planting date","2019-fall"
"4","orei_manure","rosemount",2020,"fertControl_cutFall","Planting date","2019-fall"
"5","orei_manure","rosemount",2020,"fertManure_cutFall","Planting date","2019-fall"
"6","orei_manure","rosemount",2020,"fertCommercial_cutFall","Planting date","2019-fall"
"7","orei_manure","rosemount",2020,"fertControl_cutNone","Crop type","iwg"
"8","orei_manure","rosemount",2020,"fertManure_cutNone","Crop type","iwg"
"9","orei_manure","rosemount",2020,"fertCommercial_cutNone","Crop type","iwg"
"10","orei_manure","rosemount",2020,"fertControl_cutFall","Crop type","iwg"
"11","orei_manure","rosemount",2020,"fertManure_cutFall","Crop type","iwg"
"12","orei_manure","rosemount",2020,"fertCommercial_cutFall","Crop type","iwg"
"13","orei_manure","rosemount",2020,"fertControl_cutNone","Seed harvesting date","2020-08-03"
"14","orei_manure","rosemount",2020,"fertManure_cutNone","Seed harvesting date","2020-08-03"
"15","orei_manure","rosemount",2020,"fertCommercial_cutNone","Seed harvesting date","2020-08-03"
"16","orei_manure","rosemount",2020,"fertControl_cutFall","Seed harvesting date","2020-08-03"
"17","orei_manure","rosemount",2020,"fertManure_cutFall","Seed harvesting date","2020-08-03"
"18","orei_manure","rosemount",2020,"fertCommercial_cutFall","Seed harvesting date","2020-08-03"
"19","orei_manure","rosemount",2020,"fertControl_cutNone","Straw harvesting date","2020-08-03"
"20","orei_manure","rosemount",2020,"fertManure_cutNone","Straw harvesting date","2020-08-03"
"21","orei_manure","rosemount",2020,"fertCommercial_cutNone","Straw harvesting date","2020-08-03"
"22","orei_manure","rosemount",2020,"fertControl_cutFall","Straw harvesting date","2020-08-03"
"23","orei_manure","rosemount",2020,"fertManure_cutFall","Straw harvesting date","2020-08-03"
"24","orei_manure","rosemount",2020,"fertCommercial_cutFall","Straw harvesting date","2020-08-03"
"25","orei_manure","rosemount",2020,"fertControl_cutNone","Hay harvesting date","2020-10-19"
"26","orei_manure","rosemount",2020,"fertManure_cutNone","Hay harvesting date","2020-10-19"
"27","orei_manure","rosemount",2020,"fertCommercial_cutNone","Hay harvesting date","2020-10-19"
