experiment,site,timing,date,sample_type,plots,block,treatment,area_m2,weight_wet_withbag_g,bagtare_wet_g,weight_wet_nobag_g,forage_weight_dry_withbag_g,bagtare_dry_g,forage_weight_dry_nobag_g,forage_drymatteryield_kgha,combine_weight_byhand_dry_nopenalty_kg,combine_weight_byhand_dry_withpenalty_kg,grain_kgha_byhand,grain_moisturepercent_byhand_grainsensor,grain_testweight_lbbu_byhand_grainsensor,grain_testweight_lbbu_harvestMaster,grain_kgha_harvestMaster,grain_moisturepercent_harvestMaster,grain_testweight_kghL_harvestMaster,lodging_score_atharvest,protein_estimated_NIRS,ndvi,lodging_score_drone
NxS,MN,feekes 3,2025-05-23,1 meter row length cut at soil surface with rice knife,101,1,0N-0S,0.2032,,30.7,,42.5,30.3,12.2,600.3937008,,,,,,,,,,,,,
NxS,MN,feekes 3,2025-05-23,1 meter row length cut at soil surface with rice knife,102,1,0N-10S,0.2032,,30.7,,47.98,30.3,17.68,870.0787402,,,,,,,,,,,,,
NxS,MN,feekes 3,2025-05-23,1 meter row length cut at soil surface with rice knife,103,1,0N-20S,0.2032,,30.7,,41.56,30.3,11.26,554.1338583,,,,,,,,,,,,,
NxS,MN,feekes 3,2025-05-23,1 meter row length cut at soil surface with rice knife,104,1,50N-0S,0.2032,,30.7,,46.9,30.3,16.6,816.9291339,,,,,,,,,,,,,
NxS,MN,feekes 3,2025-05-23,1 meter row length cut at soil surface with rice knife,105,1,50N-10S,0.2032,,30.7,,56.52,30.3,26.22,1290.354331,,,,,,,,,,,,,
NxS,MN,feekes 3,2025-05-23,1 meter row length cut at soil surface with rice knife,106,1,50N-20S,0.2032,,30.7,,50.17,30.3,19.87,977.8543307,,,,,,,,,,,,,
NxS,MN,feekes 3,2025-05-23,1 meter row length cut at soil surface with rice knife,107,1,75N-0S,0.2032,,30.7,,43.64,30.3,13.34,656.496063,,,,,,,,,,,,,
NxS,MN,feekes 3,2025-05-23,1 meter row length cut at soil surface with rice knife,108,1,75N-10S,0.2032,,30.7,,62.65,30.3,32.35,1592.027559,,,,,,,,,,,,,
NxS,MN,feekes 3,2025-05-23,1 meter row length cut at soil surface with rice knife,109,1,75N-20S,0.2032,,30.7,,51.04,30.3,20.74,1020.669291,,,,,,,,,,,,,
NxS,MN,feekes 3,2025-05-23,1 meter row length cut at soil surface with rice knife,110,1,100N-0S,0.2032,,30.7,,57.25,30.3,26.95,1326.279528,,,,,,,,,,,,,
NxS,MN,feekes 3,2025-05-23,1 meter row length cut at soil surface with rice knife,111,1,100N-10S,0.2032,,30.7,,54.16,30.3,23.86,1174.212598,,,,,,,,,,,,,
NxS,MN,feekes 3,2025-05-23,1 meter row length cut at soil surface with rice knife,112,1,100N-20S,0.2032,,30.7,,53.99,30.3,23.69,1165.846457,,,,,,,,,,,,,
NxS,MN,feekes 3,2025-05-23,1 meter row length cut at soil surface with rice knife,113,1,150N-0S,0.2032,,30.7,,46.27,30.3,15.97,785.9251969,,,,,,,,,,,,,
NxS,MN,feekes 3,2025-05-23,1 meter row length cut at soil surface with rice knife,114,1,150N-10S,0.2032,,30.7,,60.72,30.3,30.42,1497.047244,,,,,,,,,,,,,
NxS,MN,feekes 3,2025-05-23,1 meter row length cut at soil surface with rice knife,115,1,150N-20S,0.2032,,30.7,,68.3,30.3,38,1870.07874,,,,,,,,,,,,,
NxS,MN,feekes 3,2025-05-23,1 meter row length cut at soil surface with rice knife,116,1,100N-20S-PD,0.2032,,30.7,,57.24,30.3,26.94,1325.787402,,,,,,,,,,,,,
NxS,MN,feekes 3,2025-05-23,1 meter row length cut at soil surface with rice knife,201,2,75N-20S,0.2032,,30.7,,50.84,30.3,20.54,1010.826772,,,,,,,,,,,,,
NxS,MN,feekes 3,2025-05-23,1 meter row length cut at soil surface with rice knife,202,2,150N-0S,0.2032,,30.7,,58.36,30.3,28.06,1380.905512,,,,,,,,,,,,,
NxS,MN,feekes 3,2025-05-23,1 meter row length cut at soil surface with rice knife,203,2,100N-10S,0.2032,,30.7,,51.34,30.3,21.04,1035.433071,,,,,,,,,,,,,
NxS,MN,feekes 3,2025-05-23,1 meter row length cut at soil surface with rice knife,204,2,0N-20S,0.2032,,30.7,,50.17,30.3,19.87,977.8543307,,,,,,,,,,,,,
NxS,MN,feekes 3,2025-05-23,1 meter row length cut at soil surface with rice knife,205,2,150N-10S,0.2032,,30.7,,48.72,30.3,18.42,906.496063,,,,,,,,,,,,,
NxS,MN,feekes 3,2025-05-23,1 meter row length cut at soil surface with rice knife,206,2,75N-0S,0.2032,,30.7,,51.58,30.3,21.28,1047.244094,,,,,,,,,,,,,
NxS,MN,feekes 3,2025-05-23,1 meter row length cut at soil surface with rice knife,207,2,100N-20S-PD,0.2032,,30.7,,56.28,30.3,25.98,1278.543307,,,,,,,,,,,,,
NxS,MN,feekes 3,2025-05-23,1 meter row length cut at soil surface with rice knife,208,2,75N-10S,0.2032,,30.7,,51.08,30.3,20.78,1022.637795,,,,,,,,,,,,,
NxS,MN,feekes 3,2025-05-23,1 meter row length cut at soil surface with rice knife,209,2,100N-0S,0.2032,,30.7,,51.98,30.3,21.68,1066.929134,,,,,,,,,,,,,
