"","plots","block","dat$treatment"
"1",101,"1","0N-0S"
"2",102,"1","0N-10S"
"3",103,"1","0N-20S"
"4",104,"1","50N-0S"
"5",105,"1","50N-10S"
"6",106,"1","50N-20S"
"7",107,"1","75N-0S"
"8",108,"1","75N-10S"
"9",109,"1","75N-20S"
"10",110,"1","100N-0S"
"11",111,"1","100N-10S"
"12",112,"1","100N-20S"
"13",113,"1","150N-0S"
"14",114,"1","150N-10S"
"15",115,"1","150N-20S"
"16",116,"1","100N-20S-PD"
"17",201,"2","75N-20S"
"18",202,"2","150N-0S"
"19",203,"2","100N-10S"
"20",204,"2","0N-20S"
"21",205,"2","150N-10S"
"22",206,"2","75N-0S"
"23",207,"2","100N-20S-PD"
"24",208,"2","75N-10S"
"25",209,"2","100N-0S"
"26",210,"2","50N-20S"
"27",211,"2","150N-20S"
"28",212,"2","0N-10S"
"29",213,"2","50N-10S"
"30",214,"2","50N-0S"
"31",215,"2","0N-0S"
"32",216,"2","100N-20S"
"33",301,"3","75N-0S"
"34",302,"3","50N-20S"
"35",303,"3","100N-0S"
"36",304,"3","100N-20S"
"37",305,"3","0N-0S"
"38",306,"3","100N-10S"
"39",307,"3","50N-10S"
"40",308,"3","150N-20S"
"41",309,"3","150N-0S"
"42",310,"3","75N-10S"
"43",311,"3","50N-0S"
"44",312,"3","0N-20S"
"45",313,"3","150N-10S"
"46",314,"3","75N-20S"
"47",315,"3","100N-20S-PD"
"48",316,"3","0N-10S"
"49",401,"4","50N-10S"
"50",402,"4","100N-20S"
"51",403,"4","100N-0S"
"52",404,"4","100N-10S"
"53",405,"4","75N-10S"
"54",406,"4","150N-0S"
"55",407,"4","100N-20S-PD"
"56",408,"4","150N-20S"
"57",409,"4","75N-20S"
"58",410,"4","50N-20S"
"59",411,"4","0N-10S"
"60",412,"4","150N-10S"
"61",413,"4","0N-0S"
"62",414,"4","75N-0S"
"63",415,"4","50N-0S"
"64",416,"4","0N-20S"
